institution,canvas_host,country,curated
Singapore University of Social Sciences,canvas.suss.edu.sg,SG,0
The Art Faculty,lms.learnforlife.sg,SG,0
Pacific American School,canvas.pas.tw,TW,0
Aberdeen School District #5,asd5.instructure.com,US,0
Abington Public Schools,abington.instructure.com,US,0
Accomack County Public Schools,accomack.instructure.com,US,0
ACG - The American College of Greece,canvas.acg.edu,US,0
Adelanto School District,aesd.instructure.com,US,0
Agora Cyber Charter School,agora.instructure.com,US,0
Aitkin Public Schools,aitkin.instructure.com,US,0
Alabama Community College System,accs.instructure.com,US,0
Alabama Southern Community College,ascc.instructure.com,US,0
Albany County School District #1,acsd1.instructure.com,US,0
Albert Gallatin School District - Parent/Guardian,agasd.instructure.com,US,0
Alcorn School District,alcornschools.instructure.com,US,0
Aledo ISD,aledo.instructure.com,US,0
Alexander County Schools,alexander.instructure.com,US,0
Alexandria City Public Schools,acps.instructure.com,US,0
Alexandria Township School District,atsd.instructure.com,US,0
Alice King Community School - APS charter school,akcs.instructure.com,US,0
Alleghany County Public Schools,alleghanyk12.instructure.com,US,0
Alleghany County Schools NC,alleghany.instructure.com,US,0
Alleghany Highlands Public Schools,ahps.instructure.com,US,0
Allen Community College,allencc.instructure.com,US,0
Allen ISD,allenisd.instructure.com,US,0
Alpine School District Faculty,alpine.instructure.com,US,0
Altus Schools Charter School of San Diego,altus.instructure.com,US,0
ALVORD ISD,alvordisd.instructure.com,US,0
Amarillo ISD,amaisd.instructure.com,US,0
Amelia County Public Schools,ameliaschools.instructure.com,US,0
American Academy of Innovation UT,aaiutah.instructure.com,US,0
American Career College,canvas.americancareercollege.edu,US,0
American University,american.instructure.com,US,1
Amherst County Public Schools,amherst.instructure.com,US,0
Anchorage School District- Teachers/Students,asdk12.instructure.com,US,0
Anderson University in SC,au.instructure.com,US,0
Anguilla Community College,acc.instructure.com,US,0
Anne Arundel Community College,aacc.instructure.com,US,0
Anne Arundel County Public Schools,aacps.instructure.com,US,0
Antelope Valley Union High School District,avhsd.instructure.com,US,0
Antigo Unified School District,antigoschools.instructure.com,US,0
Appleton Area School District- Staff/Students,aasd.instructure.com,US,0
Appomattox County Schools,acpsweb.instructure.com,US,0
Archway Charter School,archway.instructure.com,US,0
Aria University,canvas.aria.edu,US,0
Arizona State University,asu.instructure.com,US,1
Arlington ISD,arlington.instructure.com,US,0
Arlington Public Schools,apsva.instructure.com,US,0
Arlington Public Schools/NE,apseagles.instructure.com,US,0
Arvin Union School District,arvinschools.instructure.com,US,0
Ashe County Schools-Teachers/Students,ashe.instructure.com,US,0
Ashland School District 5,ashland.instructure.com,US,0
Athens City School District,athenscsd.instructure.com,US,0
Atlanta ISD,atlisd.instructure.com,US,0
Aubrey ISD,aubreyisd.instructure.com,US,0
Auburn University,auburn.instructure.com,US,1
Auburn-Washburn Unified School District 437,usd437.instructure.com,US,0
Augusta County Public Schools,augusta.instructure.com,US,0
Austin Independent School District,aisdblend.instructure.com,US,0
Azle ISD,azle.instructure.com,US,0
Azusa Pacific University,canvas.apu.edu,US,0
Baldwin City USD 348,usd348.instructure.com,US,0
Ballston Spa Central School District,bscsd.instructure.com,US,0
Baltimore City Public Schools,bcpss.instructure.com,US,0
